oa11cd,all,w,p_w,w_b,p_w_b,w_i,p_w_i,w_g,p_w_g,w_o,p_w_o,m,p_m,m_wbc,p_m_wbc,m_wba,p_m_wba,m_w_a,p_m_w_a,m_o,p_m_o,a,p_a,a_i,p_a_i,a_p,p_a_p,a_b,p_a_b,a_c,p_a_c,a_o,p_a_o,b,p_b,b_a,p_b_a,b_c,p_b_c,b_o,p_b_o,o,p_o,o_a,p_o_a,o_o,p_o_o
E00168094,141,95,67.4,76,53.9,2,1.4,0,0,17,12.1,8,5.7,1,0.7,4,2.8,2,1.4,1,0.7,28,19.9,1,0.7,1,0.7,1,0.7,22,15.6,3,2.1,8,5.7,5,3.5,1,0.7,2,1.4,2,1.4,1,0.7,1,0.7
E00168096,708,235,33.2,206,29.1,2,0.3,1,0.1,26,3.7,19,2.7,2,0.3,2,0.3,5,0.7,10,1.4,405,57.2,83,11.7,28,4,5,0.7,263,37.1,26,3.7,37,5.2,27,3.8,8,1.1,2,0.3,12,1.7,7,1,5,0.7
E00168097,289,19,6.6,9,3.1,1,0.3,0,0,9,3.1,1,0.3,0,0,0,0,0,0,1,0.3,247,85.5,186,64.4,11,3.8,9,3.1,0,0,41,14.2,13,4.5,0,0,2,0.7,11,3.8,9,3.1,0,0,9,3.1
E00168099,167,162,97,160,95.8,2,1.2,0,0,0,0,4,2.4,3,1.8,0,0,0,0,1,0.6,1,0.6,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00168101,191,167,87.4,166,86.9,0,0,0,0,1,0.5,13,6.8,3,1.6,0,0,9,4.7,1,0.5,2,1,2,1,0,0,0,0,0,0,0,0,9,4.7,6,3.1,3,1.6,0,0,0,0,0,0,0,0
E00168102,264,233,88.3,215,81.4,1,0.4,0,0,17,6.4,9,3.4,6,2.3,0,0,2,0.8,1,0.4,10,3.8,4,1.5,0,0,0,0,3,1.1,3,1.1,12,4.5,8,3,4,1.5,0,0,0,0,0,0,0,0
E00168104,391,79,20.2,66,16.9,0,0,5,1.3,8,2,5,1.3,1,0.3,0,0,3,0.8,1,0.3,259,66.2,178,45.5,28,7.2,28,7.2,0,0,25,6.4,45,11.5,9,2.3,4,1,32,8.2,3,0.8,2,0.5,1,0.3
E00168105,356,33,9.3,16,4.5,1,0.3,0,0,16,4.5,8,2.2,1,0.3,1,0.3,4,1.1,2,0.6,299,84,245,68.8,26,7.3,7,2,1,0.3,20,5.6,3,0.8,0,0,2,0.6,1,0.3,13,3.7,0,0,13,3.7
E00168107,133,12,9,6,4.5,0,0,0,0,6,4.5,7,5.3,0,0,0,0,2,1.5,5,3.8,113,85,101,75.9,8,6,0,0,0,0,4,3,1,0.8,0,0,1,0.8,0,0,0,0,0,0,0,0
E00168108,424,33,7.8,16,3.8,1,0.2,0,0,16,3.8,15,3.5,2,0.5,0,0,4,0.9,9,2.1,331,78.1,289,68.2,22,5.2,9,2.1,0,0,11,2.6,22,5.2,4,0.9,10,2.4,8,1.9,23,5.4,23,5.4,0,0
